ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Sync with Square","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global"
58,simple,000,,"Charming Wool Fox Plush",1,0,visible,"Soft, cuddly, and adorable, our wool fox plush is the perfect companion for children.","Introducing our charming wool fox plush, a delightful and cozy friend for children of all ages. Handcrafted from soft, non-toxic wool, this adorable fox is designed to provide endless snuggles and imaginative play. Its vibrant orange color and detailed stitching make it an eye-catching companion, while its child-friendly design ensures safety and durability. Perfect for bedtime cuddles or daytime adventures, this wool fox plush is sure to become a cherished part of your child's toy collection.
\n
\n[porto_info_list icon_color=""#222529"" font_size_icon=""16"" el_class=""ps-4""][porto_info_list_item list_icon=""fa fa-check-circle"" desc_font_size=""14""]<strong>Handcrafted Quality:</strong> Made from soft, non-toxic wool for a cozy and safe play experience.[/porto_info_list_item][porto_info_list_item list_icon=""fa fa-check-circle"" desc_font_size=""14""]<strong>Adorable Design:</strong> Vibrant orange color and detailed stitching make this fox plush irresistible.[/porto_info_list_item][porto_info_list_item list_icon=""fa fa-check-circle"" desc_font_size=""14""]<strong>Durable Construction:</strong> Built to withstand countless cuddles and imaginative play sessions.[/porto_info_list_item][/porto_info_list]
\n
\nSed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",,,taxable,,1,,,0,0,,,,,1,,,30,"30$ Toys, Fabric and Wool Toys",,,https://zakute.com/wp-content/uploads/2019/07/1-135.jpeg,,,,,,,,,5,,no,Size,"L, M, S, X",1,1,Color,Red,1,1
66,simple,000-1,,"Classic Cuddly Teddy Bear",1,1,visible,"Soft, cuddly, and timeless, our teddy bear is the perfect companion for children of all ages.
\n
\n&nbsp;","Introducing our classic cuddly teddy bear, a timeless friend for children of all ages. Made from ultra-soft, high-quality materials, this teddy bear offers endless comfort and warmth. Its friendly face and huggable size make it perfect for snuggling, while its durable construction ensures it can withstand all the love and adventures that come its way. Whether for bedtime cuddles, playtime fun, or as a comforting companion, our teddy bear is sure to become a beloved part of your child's life.
\n
\n[porto_info_list icon_color=""#222529"" font_size_icon=""16"" el_class=""ps-4""][porto_info_list_item list_icon=""fa fa-check-circle"" desc_font_size=""14""]<strong>Ultra-Soft and Huggable:</strong> Crafted from premium, non-toxic materials for maximum comfort and safety.[/porto_info_list_item][porto_info_list_item list_icon=""fa fa-check-circle"" desc_font_size=""14""]<strong>Timeless Design:</strong> Classic teddy bear look with a friendly face and cuddly size.
\n
\n/Digital Products, Virtual Products[/porto_info_list_item][porto_info_list_item list_icon=""fa fa-check-circle"" desc_font_size=""14""]<strong>Durable and Long-Lasting:</strong> Built to endure countless hugs, snuggles, and playtime adventures.[/porto_info_list_item][/porto_info_list]
\n
\nSed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",,,taxable,,1,,,0,0,,,,,1,,5,10,"5$ Toys, Fabric and Wool Toys",,,https://zakute.com/wp-content/uploads/2019/07/shop30_product-1.jpg,,,,,,,,,10,,no,Size,"L, M, S, X",1,1,Color,Brown,1,1
160,simple,000-2,,"Vibrant and Cuddly Colorful Panda Plush",1,0,visible,"Bright and soft, our colorful panda plush is the perfect companion for playtime and snuggles.","Introducing our vibrant and cuddly colorful panda plush, a delightful addition to any child's toy collection. This adorable panda is made from high-quality, non-toxic materials, ensuring a safe and soft playtime experience. Its bright colors and endearing design captivate children's attention, while its huggable size makes it perfect for snuggling. Built to last, this colorful panda plush is ideal for both playtime adventures and bedtime cuddles, quickly becoming a favorite friend for your child.
\n
\n[porto_info_list icon_color=""#21293c"" font_size_icon=""16"" el_class=""ps-4""][porto_info_list_item list_icon=""fa fa-check-circle"" desc_font_size=""14""]<strong>Bright and Engaging Colors:</strong> Captivates children's attention and stimulates visual development.[/porto_info_list_item][porto_info_list_item list_icon=""fa fa-check-circle"" desc_font_size=""14""<strong>Soft and Huggable:</strong> Made with premium, non-toxic materials for a cozy and safe play experience.[/porto_info_list_item][porto_info_list_item list_icon=""fa fa-check-circle"" desc_font_size=""14""]<strong>Durable Construction:</strong> Ensures the toy can withstand countless play sessions and cuddles.[/porto_info_list_item][/porto_info_list]
\n
\n&nbsp;",,,taxable,,1,,,0,0,,,,,1,,,10,"10$ Toys, Fabric and Wool Toys",,,https://zakute.com/wp-content/uploads/2019/07/1-134.jpeg,,,,,,,,,1,,no,Size,"L, M, S, X",1,1,Color,Red,1,1
161,simple,000-2-1,,"Charming Wool Dog Toy",1,0,visible,"Adorable and soft, our wool dog toy is perfect for cuddles and play.
\n
\n&nbsp;","Meet our charming wool dog toy, a delightful companion for children of all ages. Handcrafted from soft, non-toxic wool, this adorable dog is designed for endless snuggles and imaginative adventures. Its cute design and detailed stitching make it a lovable friend, while its child-friendly construction ensures safety and durability. Whether for bedtime cuddles or daytime play, this wool dog toy is sure to become a cherished part of your child's toy collection.
\n
\n[porto_info_list icon_color=""#222529"" font_size_icon=""16"" el_class=""ps-4""][porto_info_list_item list_icon=""fa fa-check-circle"" desc_font_size=""14""]<strong>Handcrafted Quality:</strong> Made from soft, non-toxic wool for a cozy and safe play experience
\n
\n[/porto_info_list_item][porto_info_list_item list_icon=""fa fa-check-circle"" desc_font_size=""14""]<strong>Adorable Design:</strong> Cute and detailed stitching make this dog toy irresistible[/porto_info_list_item][porto_info_list_item list_icon=""fa fa-check-circle"" desc_font_size=""14""]<strong>Durable Construction:</strong> Built to withstand endless cuddles and imaginative play sessions.[/porto_info_list_item][/porto_info_list]
\n
\n&nbsp;",,,taxable,,1,,,0,0,,,,,1,,5,9,"5$ Toys",,,https://zakute.com/wp-content/uploads/2019/07/1-133.jpeg,,,,,,,,,2,,no,Size,"L, M, S, X",1,1,Color,Red,1,1
162,simple,000-2-1-1,,"Adorable Orange Wool Fox Toy",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Our adorable orange wool fox toy is a charming addition to any child's toy collection. Handcrafted from soft, non-toxic wool, this cute fox is perfect for snuggling and imaginative play. Its vibrant orange color and detailed stitching make it an eye-catching companion, while its child-friendly design ensures safety and durability. Ideal for toddlers and young children, this wool fox toy is sure to become a beloved friend. Bring home the magic of this delightful fox and watch your child's face light up with joy!",,,taxable,,1,,,0,0,,,,,1,,,5,"5$ Toys, Fabric and Wool Toys",,,https://zakute.com/wp-content/uploads/2019/07/1-147.jpeg,,,,,,,,,3,,no,Size,"L, M, S, X",1,1,Color,Red,1,1
163,simple,000-2-1-1-1,,"Vibrant and Soft Colorful Plush Toy",1,0,visible,"Brighten your child's day with our ultra-soft, colorful plush toy, perfect for endless cuddles and play.
\n
\n&nbsp;","Introducing our vibrant and soft colorful plush toy, designed to bring joy and comfort to children of all ages. Made from high-quality, non-toxic materials, this plush toy features a rainbow of bright colors and a super-soft texture that is perfect for cuddling. Its durable construction ensures it can withstand endless hugs and playtime adventures. Whether for naptime snuggles or imaginative play, this colorful plush toy is a delightful companion that will quickly become a favorite. Brighten up your child's day with this cheerful and cuddly plush toy!
\n
\n[porto_info_list icon_color=""#21293c"" font_size_icon=""16"" el_class=""ps-4""][porto_info_list_item list_icon=""fa fa-check-circle"" desc_font_size=""14""]<strong>Bright and Engaging Colors:</strong> Captivates children's attention and stimulates visual development.[/porto_info_list_item][porto_info_list_item list_icon=""fa fa-check-circle"" desc_font_size=""14""]<strong>Ultra-Soft and Cuddly:</strong> Made with premium, non-toxic materials for maximum comfort and safety.[/porto_info_list_item][porto_info_list_item list_icon=""fa fa-check-circle"" desc_font_size=""14""]<strong>Durable and Long-Lasting:</strong> Sturdy construction ensures the toy can endure countless play sessions.[/porto_info_list_item][/porto_info_list]
\n
\n&nbsp;",,,taxable,,1,,,0,0,,,,,1,,8,10,"10$ Toys, Fabric and Wool Toys",,,https://zakute.com/wp-content/uploads/2019/07/1-132.jpeg,,,,,,,,,4,,no,Size,"L, M, S, X",1,1,Color,Brown,1,1
1600,simple,,,"Adorable Wool Brown Bear Toy",1,1,visible,"Soft, cozy, and lovable, our wool brown bear toy is perfect for children of all ages.
\n
\n&nbsp;","Meet our adorable wool brown bear toy, a delightful companion for children of all ages. Handcrafted from soft, non-toxic wool, this charming brown bear is designed for endless snuggles and imaginative play. Its warm brown color and detailed stitching make it a lovable friend, while its child-friendly construction ensures safety and durability. Perfect for bedtime cuddles or daytime adventures, this wool brown bear toy is sure to become a cherished part of your child's toy collection.
\n
\n&nbsp;
\n<ul>
\n 	<li><strong>Handcrafted Quality:</strong> Made from soft, non-toxic wool for a cozy and safe play experience.</li>
\n 	<li><strong>Lovable Design:</strong> Warm brown color and detailed stitching make this bear toy irresistible.</li>
\n 	<li><strong>Durable Construction:</strong> Built to withstand countless cuddles and imaginative play sessions.</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,1,,,20,"20$ Toys, Fabric and Wool Toys",,,https://zakute.com/wp-content/uploads/2019/07/1-136.jpeg,,,,,,,,,0,,no,,,,,,,,
1601,simple,,,"Vibrant and Soft Colorful Wool Toy",1,0,visible,"Bright, cozy, and safe, our colorful wool toy is perfect for endless play and snuggles.","Introducing our vibrant and soft colorful wool toy, a delightful companion that adds a splash of color to your child's playtime. Handcrafted from non-toxic, high-quality wool, this toy is designed to be both safe and durable. Its bright and engaging colors stimulate visual development, while the soft texture makes it ideal for cuddling. Whether for imaginative adventures or cozy snuggles, this colorful wool toy is sure to become a favorite in your child's toy collection.
\n<ul>
\n 	<li><strong>Bright and Engaging Colors:</strong> Stimulates children's visual development and captures their attention.</li>
\n 	<li><strong>Soft and Cozy:</strong> Handcrafted from non-toxic, high-quality wool for a safe and comfortable play experience.</li>
\n 	<li><strong>Durable Design:</strong> Built to endure countless play sessions and snuggles.</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,1,,,20,"20$ Toys, Fabric and Wool Toys",,,https://zakute.com/wp-content/uploads/2019/07/1-137.jpeg,,,,,,,,,0,,no,,,,,,,,
1602,simple,,,"Magical White Unicorn Plush",1,0,visible,"Soft, enchanting, and cuddly, our white unicorn plush is a dream companion for every child.
\n
\n&nbsp;","Introducing our magical white unicorn plush, a whimsical and enchanting toy that will captivate your child's imagination. Crafted from ultra-soft, non-toxic materials, this plush unicorn is designed for endless snuggles and fairy-tale adventures. Its pure white color, shimmering accents, and adorable details make it a beautiful and beloved companion. Perfect for both playtime and bedtime, this white unicorn plush is sure to add a touch of magic to your child's world.
\n
\n<strong>Features:</strong>
\n<ol>
\n 	<li><strong>Enchanting Design:</strong> Pure white with shimmering accents, capturing the magic of a unicorn.</li>
\n 	<li><strong>Ultra-Soft and Cuddly:</strong> Made from premium, non-toxic materials for a safe and cozy experience.</li>
\n 	<li><strong>Durable Construction:</strong> Built to last through countless cuddles and magical adventures.</li>
\n</ol>",,,taxable,,1,,,0,0,,,,,1,,,30,"30$ Toys, Fabric and Wool Toys",,,https://zakute.com/wp-content/uploads/2019/07/1-138.jpeg,,,,,,,,,0,,no,,,,,,,,
1692,simple,,,"Colorful Wooden Bear Puzzle",1,0,visible,"Engaging, educational, and vibrant, our colorful wooden bear puzzle is perfect for developing young minds.
\n
\n&nbsp;","Introducing our colorful wooden bear puzzle, a delightful and educational toy designed to engage young minds. Made from high-quality, non-toxic wood, this puzzle features bright, vibrant colors and child-friendly pieces that fit together to form a cute bear. It helps develop fine motor skills, hand-eye coordination, and problem-solving abilities in a fun and interactive way. Perfect for toddlers and preschoolers, this wooden bear puzzle is a durable and charming addition to any toy collection.
\n
\n<strong>Features:</strong>
\n<ol>
\n 	<li><strong>Bright and Engaging Colors:</strong> Stimulates visual development and keeps children entertained.</li>
\n 	<li><strong>Educational and Fun:</strong> Promotes fine motor skills and problem-solving abilities through interactive play.</li>
\n 	<li><strong>High-Quality Craftsmanship:</strong> Made from durable, non-toxic wood for safe and long-lasting use.</li>
\n</ol>",,,taxable,,1,,,0,0,,,,,1,,,10,"10$ Toys, Wooden Toys",,,https://zakute.com/wp-content/uploads/2024/08/ColorCuddle-Puzzle-Bear.jpeg,,,,,,,,,0,,no,,,,,,,,
